,parameter,median,hpd_min,hpd_max
0,n_sr__694,377.468977725874,294.9735994447891,472.36323193145716
1,n_sr__693,377.98952475206283,295.38038156214424,473.0146424848337
2,n_sr__692,377.98952475206283,295.38038156214424,473.0146424848337
3,n_sr__691,507.15383443829637,396.31599109882734,634.6503645544059
4,n_sr__690,643.7340653753415,503.04678146793265,805.5663420528798
5,n_sr__689,643.7340653753415,503.04678146793265,805.5663420528798
6,n_sr__688,347.75956993564415,271.75714598666843,435.1849928954693
7,n_sr__687,347.75956993564415,271.75714598666843,435.1849928954693
8,n_sr__686,430.95828221810325,336.7728825883419,539.2995425547482
9,n_sr__685,442.30001765886703,345.6358957744008,553.4925468137667
10,n_sr__684,539.8391319739727,421.857957278692,675.5526206116061
11,n_sr__683,480.46013401681375,375.4561658934198,601.2459701608124
12,n_sr__682,539.8391319739727,421.857957278692,675.5526206116061
13,n_sr__681,509.69758702743735,398.3038097053695,637.833606794549
14,n_sr__680,500.8318338448557,391.3756559169159,626.7390372432674
15,n_sr__679,436.18013677658683,340.85350729072917,545.8341513344732
16,n_sr__678,573.6288988308012,448.2630123754242,717.8370053439937
17,n_sr__677,484.10849815374354,378.3071845600107,605.8115190580108
18,n_sr__676,486.9443611808006,380.52327322950373,609.3603071805368
19,n_sr__675,477.23756564975434,372.9378858577587,597.213260458004
20,n_sr__674,717.2365055063182,560.4853542058352,897.5470139064772
21,n_sr__673,717.2365055063182,560.4853542058352,897.5470139064772
22,n_sr__672,439.4199327636575,343.38524987135264,549.8884196149321
23,n_sr__671,439.4199327636575,343.38524987135264,549.8884196149321
24,n_sr__670,605.9380349512408,473.5110267521682,758.26853444795
25,n_sr__669,533.3168037895981,416.7610758531082,667.3906041210058
26,n_sr__668,533.3168037895981,416.7610758531082,667.3906041210058
27,n_sr__667,533.3168037895981,416.7610758531082,667.3906041210058
28,n_sr__666,663.0087690525963,518.1090224927847,829.6866323568984
29,n_sr__665,663.0087690525963,518.1090224927847,829.6866323568984
30,n_sr__664,531.7738618164393,415.55534194008794,665.4597724497116
31,n_sr__663,398.57023847853895,311.46320575505086,498.7692687586632
32,n_sr__662,471.6827478653298,368.5970666306976,590.2619827735458
33,n_sr__661,621.1349906011925,485.3867065382949,777.2859465001358
34,n_sr__660,348.4992231410572,272.33514889873817,436.11059208171827
35,n_sr__659,359.49850606303255,280.93055214049247,449.8750525713057
36,n_sr__658,359.49850606303255,280.93055214049247,449.8750525713057
37,n_sr__657,536.1050895467548,418.9399852062005,670.8798542303363
38,n_sr__656,399.42360894735896,312.13007316323973,499.83717329247474
39,n_sr__655,741.1322507407426,579.1587138701958,927.4500579032233
40,n_sr__654,399.42360894735896,312.13007316323973,499.83717329247474
41,n_sr__653,486.0936533029519,379.85848650632215,608.2957346028612
42,n_sr__652,486.0936533029519,379.85848650632215,608.2957346028612
43,n_sr__651,486.0936533029519,379.85848650632215,608.2957346028612
44,n_sr__650,491.8025731200795,384.31972895741114,615.4398549803889
45,n_sr__649,618.6965973772825,483.4812211380065,774.2345505658124
46,n_sr__648,618.6965973772825,483.4812211380065,774.2345505658124
47,n_sr__647,557.3454334004218,435.5382781777389,697.4599391170468
48,n_sr__646,693.9284992699909,542.271283908371,868.3794642392153
49,n_sr__645,557.3454334004218,435.5382781777389,697.4599391170468
50,n_sr__644,459.0064152428386,358.69113082653433,574.3988687166694
51,n_sr__643,441.0704341459883,344.67503621768464,551.953850718601
52,n_sr__642,670.6570310388595,524.085766280252,839.2576380916092
53,n_sr__641,548.6935528701,428.77725543788165,686.6330089830543
54,n_sr__640,441.0704341459883,344.67503621768464,551.953850718601
55,n_sr__639,499.69790298091385,390.4895442410013,625.3200405063558
56,n_sr__638,444.7234324647163,347.5296762713727,556.5251988131395
57,n_sr__637,604.767435848709,472.59626063586137,756.803651217812
58,n_sr__636,466.1547122702246,364.2771763786003,583.3442202181491
59,n_sr__635,464.5259546692997,363.0043817371377,581.3059991991901
60,n_sr__634,740.398338388562,578.5851971549841,926.5316427987053
61,n_sr__633,740.398338388562,578.5851971549841,926.5316427987053
62,n_sr__632,740.398338388562,578.5851971549841,926.5316427987053
63,n_sr__631,691.0430457980397,540.0164427243889,864.7686188240233
64,n_sr__630,665.5872813846937,520.124004143446,832.9133728061472
65,n_sr__629,600.7002688220497,469.41796793317434,751.7140139896287
66,n_sr__628,462.45722343200623,361.38776915343686,578.7171968580473
67,n_sr__627,462.45722343200623,361.38776915343686,578.7171968580473
68,n_sr__626,461.8599053045119,360.9209941640268,577.9697152427518
69,n_sr__625,315.28047346129506,246.37631588117858,394.54077605606903
70,n_sr__624,106.46025001698533,83.19349403093949,133.22394882149575
71,n_sr__623,106.46025001698533,83.19349403093949,133.22394882149575
72,n_sr__622,200.10997487621052,156.37618733507924,250.41685556182384
73,n_sr__621,200.10997487621052,156.37618733507924,250.41685556182384
74,n_sr__620,278.8984350886626,217.945527002662,349.0124326846795
75,n_sr__619,142.8287206729083,111.61368040045492,178.7353136041985
76,n_sr__618,220.43497190880683,172.2591814013189,275.8514789450645
77,n_sr__617,296.69040859125704,231.849086698892,371.27724013126056
78,n_sr__616,270.51112890176637,211.39125621066327,338.516589869967
79,n_sr__615,270.51112890176637,211.39125621066327,338.516589869967
80,n_sr__614,230.9411360986932,180.4692364000619,288.9988525433825
81,n_sr__613,230.9411360986932,180.4692364000619,288.9988525433825
82,n_sr__612,385.6433771153205,301.36149395662744,482.59264399588824
83,n_sr__611,385.6433771153205,301.36149395662744,482.59264399588824
84,n_sr__610,370.53283968472283,289.5533457948849,463.68337537217116
85,n_sr__609,270.51112890176637,211.39125621066327,338.516589869967
86,n_sr__608,110.12011829611751,86.0535026236812,137.8038939581522
87,n_sr__607,306.460693682523,239.48408806598562,383.50373744610397
88,n_sr__606,324.2924480280596,253.41873455112807,405.8183264870676
89,n_sr__605,275.4316393794216,215.2363952084269,344.6740978219601
90,n_sr__604,275.4316393794216,215.2363952084269,344.6740978219601
91,n_sr__603,311.0161556579305,243.04395946022686,389.20442510157295
92,n_sr__602,514.6064195292465,402.13982293446645,643.9765009723286
93,n_sr__601,514.6064195292465,402.13982293446645,643.9765009723286
94,n_sr__600,253.86186854297023,198.38067111380246,317.68176927164865
95,n_sr__599,267.7218231768687,209.2115498025182,335.02606337691446
96,n_sr__598,253.86186854297023,198.38067111380246,317.68176927164865
97,n_sr__597,256.6573406326941,200.56519623536653,321.1800123300096
98,n_sr__596,267.7218231768687,209.2115498025182,335.02606337691446
99,n_sr__595,267.7218231768687,209.2115498025182,335.02606337691446
100,n_sr__594,267.7218231768687,209.2115498025182,335.02606337691446
101,n_sr__593,329.8425778934012,257.75589039802463,412.76373772755346
102,n_sr__592,329.8425778934012,257.75589039802463,412.76373772755346
103,n_sr__591,165.18251533786253,129.08208088543412,206.7087665684264
104,n_sr__590,182.09580610958864,142.29899287499495,227.87399381348757
105,n_sr__589,258.5483662709481,202.0429405589365,323.5464345656392
106,n_sr__588,320.61105332125607,250.54190410486174,401.2114432613314
107,n_sr__587,262.87087338503966,205.42076908871633,328.9556034005461
108,n_sr__586,262.87087338503966,205.42076908871633,328.9556034005461
109,n_sr__585,340.8006945746265,266.3191242300362,426.4766829412519
110,n_sr__584,340.8006945746265,266.3191242300362,426.4766829412519
111,n_sr__583,352.34217158389833,275.3382257118181,440.9196430335151
112,n_sr__582,408.62550933579047,319.3209096014045,511.35239616874367
113,n_sr__581,408.62550933579047,319.3209096014045,511.35239616874367
114,n_sr__580,267.0929689262477,208.7201308706913,334.2391175780126
115,n_sr__579,267.0929689262477,208.7201308706913,334.2391175780126
116,n_sr__578,280.79369239295164,219.42657816688808,351.3841504109659
117,n_sr__577,381.341261212453,297.9996001640756,477.2089926445497
118,n_sr__576,352.34217158389833,275.3382257118181,440.9196430335151
119,n_sr__575,544.2223914571762,425.2832608224444,681.0378147283631
120,n_sr__574,544.2223914571762,425.2832608224444,681.0378147283631
121,n_sr__573,260.6773840816489,203.70666415998042,326.2106792936725
122,n_sr__572,209.74709205631362,163.90712447331126,262.4767070630553
123,n_sr__571,260.6773840816489,203.70666415998042,326.2106792936725
124,n_sr__570,260.6773840816489,203.70666415998042,326.2106792936725
125,n_sr__569,275.37110948359316,215.18909404647687,344.5983509423246
126,n_sr__568,408.62550933579047,319.3209096014045,511.35239616874367
127,n_sr__567,280.79369239295164,219.42657816688808,351.3841504109659
128,n_sr__566,213.13663493452592,166.55588694720336,266.7183680291264
129,n_sr__565,359.1771549950872,280.67943195104453,449.47291507658025
130,n_sr__564,228.26999003200902,178.38186600295117,285.65619059372625
131,n_sr__563,263.322715736066,205.7738618527013,329.5210371867613
132,n_sr__562,282.03269175323686,220.39479574920443,352.9346294614865
133,n_sr__561,325.3238589915342,254.2247319240403,407.1090302134812
134,n_sr__560,343.2759522678389,268.25341741545,429.5742109311628
135,n_sr__559,424.07849798092207,331.39666668824043,530.6902069297528
136,n_sr__558,316.48665500059826,247.318887936704,396.0501870111995
137,n_sr__557,316.48665500059826,247.318887936704,396.0501870111995
138,n_sr__556,316.48665500059826,247.318887936704,396.0501870111995
139,n_sr__555,316.48665500059826,247.318887936704,396.0501870111995
140,n_sr__554,288.2512928149752,225.2543292391969,360.71656299497096
141,n_sr__553,313.37528748645536,244.88750594507232,392.15663362951096
142,n_sr__552,152.9927370848904,119.55636359503404,191.45452478465972
143,n_sr__551,178.60685476505614,139.57254753216242,223.50793347368446
144,n_sr__550,264.7236226785442,206.86860231534698,331.2741267650652
145,n_sr__549,264.7236226785442,206.86860231534698,331.2741267650652
146,n_sr__548,264.875260307761,206.9870997282227,331.4638855130577
147,n_sr__547,291.7436414104028,227.98342936794273,365.0868746415229
148,n_sr__546,264.875260307761,206.9870997282227,331.4638855130577
149,n_sr__545,264.875260307761,206.9870997282227,331.4638855130577
150,n_sr__544,317.26518061237164,247.92726773879602,397.02443097777433
151,n_sr__543,317.26518061237164,247.92726773879602,397.02443097777433
152,n_sr__542,271.81250175846674,212.40821563888787,340.14512287483103
153,n_sr__541,316.299803490734,247.17287259324874,395.8163617479354
154,n_sr__540,293.01079585691633,228.97364877721031,366.6725868590342
155,n_sr__539,293.01079585691633,228.97364877721031,366.6725868590342
156,n_sr__538,385.5687284606472,301.30315967311793,482.4992289555496
157,n_sr__537,385.5687284606472,301.30315967311793,482.4992289555496
158,n_sr__536,438.6752011928698,342.8032784643806,548.9564653817179
159,n_sr__535,296.16783581190333,231.44072155422097,370.6232945581379
160,n_sr__534,296.16783581190333,231.44072155422097,370.6232945581379
161,n_sr__533,271.81250175846674,212.40821563888787,340.14512287483103
162,n_sr__532,316.299803490734,247.17287259324874,395.8163617479354
163,n_sr__531,316.299803490734,247.17287259324874,395.8163617479354
164,n_sr__530,293.01079585691633,228.97364877721031,366.6725868590342
165,n_sr__529,293.01079585691633,228.97364877721031,366.6725868590342
166,n_sr__528,340.08476950988165,265.7596637028352,425.58077705928764
167,n_sr__527,219.75967127942508,171.73146688937103,275.006410325805
168,n_sr__526,294.1391299108626,229.85538681903262,368.08457976936944
169,n_sr__525,310.62075266188117,242.7349712999849,388.7096193078505
170,n_sr__524,294.1391299108626,229.85538681903262,368.08457976936944
171,n_sr__523,410.9735824732901,321.15581425847245,514.2907658931193
172,n_sr__522,302.26212941969305,236.20311483059933,378.24967022020724
173,n_sr__521,341.2231135374604,266.64922405093154,427.0052964122594
174,n_sr__520,213.29929994231964,166.68300171870513,266.92192639640336
175,n_sr__519,248.3894817817957,194.10426771179905,310.8336454537369
176,n_sr__518,302.26212941969305,236.20311483059933,378.24967022020724
177,n_sr__517,302.26212941969305,236.20311483059933,378.24967022020724
178,n_sr__516,302.26212941969305,236.20311483059933,378.24967022020724
179,n_sr__515,251.78315673267412,196.7562591989861,315.0804772797045
180,n_sr__514,420.5064481269374,328.60528391243184,526.2201574337281
181,n_sr__513,420.5064481269374,328.60528391243184,526.2201574337281
182,n_sr__512,399.09209341037683,311.8710099368929,499.42231602015596
183,n_sr__511,410.9735824732901,321.15581425847245,514.2907658931193
184,n_sr__510,399.09209341037683,311.8710099368929,499.42231602015596
185,n_sr__509,217.535579042756,169.9934472605794,272.22318982552423
186,n_sr__508,394.19264088469856,308.0423267017432,493.2911599085538
187,n_sr__507,375.14708900831164,293.15915663506235,469.45762928982913
188,n_sr__506,378.49294101154663,295.7737768206728,473.6446156624157
189,n_sr__505,237.5633807055059,185.6441976375228,297.2859040620544
190,n_sr__504,324.6083646403425,253.66560797847814,406.2136633248066
191,n_sr__503,287.84930907668416,224.9401985497921,360.2135220856305
192,n_sr__502,448.020341070642,350.1060495786292,560.6509376059273
193,n_sr__501,494.2583308724427,386.2387838899335,618.5129808190622
194,n_sr__500,541.8688213967978,423.44406058819504,678.092566175766
195,n_sr__499,494.2583308724427,386.2387838899335,618.5129808190622
196,n_sr__498,541.8688213967978,423.44406058819504,678.092566175766
197,n_sr__497,510.84923551157607,399.20376683749765,639.2747752934653
198,n_sr__496,452.4548425975248,353.57139628078386,566.2002558197397
199,n_sr__495,235.0220462284397,183.65826866765198,294.10568783809344
200,n_sr__494,235.0220462284397,183.65826866765198,294.10568783809344
201,n_sr__493,503.402854995345,393.38478357444563,629.9564032565645
202,n_sr__492,503.402854995345,393.38478357444563,629.9564032565645
203,n_sr__491,503.402854995345,393.38478357444563,629.9564032565645
204,n_sr__490,503.402854995345,393.38478357444563,629.9564032565645
205,n_sr__489,503.402854995345,393.38478357444563,629.9564032565645
206,n_sr__488,503.402854995345,393.38478357444563,629.9564032565645
207,n_sr__487,517.1886004227774,404.157671386997,647.2078322452943
208,n_sr__486,517.1886004227774,404.157671386997,647.2078322452943
209,n_sr__485,517.1886004227774,404.157671386997,647.2078322452943
210,n_sr__484,517.1886004227774,404.157671386997,647.2078322452943
211,n_sr__483,328.27552286105214,256.5313133050807,410.8027310664115
212,n_sr__482,328.27552286105214,256.5313133050807,410.8027310664115
213,n_sr__481,328.27552286105214,256.5313133050807,410.8027310664115
214,n_sr__480,328.27552286105214,256.5313133050807,410.8027310664115
215,n_sr__479,303.7635267354922,237.37638361974902,380.12851306651703
216,n_sr__478,282.5443946722731,220.79466662808784,353.57497253307037
217,n_sr__477,222.26291410803185,173.68762909344684,278.13895880688483
218,n_sr__476,222.26291410803185,173.68762909344684,278.13895880688483
219,n_sr__475,343.94127275076704,268.77333292960964,430.4067904334031
220,n_sr__474,371.77588423011184,290.524724492103,465.2389165518258
221,n_sr__473,371.77588423011184,290.524724492103,465.2389165518258
222,n_sr__472,307.39960535412126,240.21780175287086,384.6786879132029
223,n_sr__471,307.39960535412126,240.21780175287086,384.6786879132029
224,n_sr__470,287.4794833510296,224.65119777913048,359.75072359004525
225,n_sr__469,299.54497142960287,234.07978835904186,374.8494291259591
226,n_sr__468,417.31687033232834,326.1127844004103,522.2287320068351
227,n_sr__467,420.84908842101817,328.87304059397087,526.6489361844403
228,n_sr__466,299.54497142960287,234.07978835904186,374.8494291259591
229,n_sr__465,299.54497142960287,234.07978835904186,374.8494291259591
230,n_sr__464,417.31687033232834,326.1127844004103,522.2287320068351
231,n_sr__463,287.4794833510296,224.65119777913048,359.75072359004525
232,n_sr__462,267.63738515809086,209.14556560832312,334.92039796385706
233,n_sr__461,222.95412973975067,174.22778040365245,279.00394339906865
234,n_sr__460,396.8439696840146,310.1142108707618,496.60902260578314
235,n_sr__459,385.95406151726814,301.60427866674047,482.98143326566816
236,n_sr__458,308.8701693256567,241.3669757870153,386.5189460306816
237,n_sr__457,308.8701693256567,241.3669757870153,386.5189460306816
238,n_sr__456,127.26161173952069,99.4487438732333,159.2546931518757
239,n_sr__455,396.8439696840146,310.1142108707618,496.60902260578314
240,n_sr__454,244.68252204465364,191.20745944095933,306.19477024702303
241,n_sr__453,267.39050657952737,208.95264203779973,334.6114550568996
242,n_sr__452,189.57384962899658,148.14271923103598,237.23198881120342
243,n_sr__451,467.68489854478133,365.4729423351732,585.2590894571031
244,n_sr__450,206.05843121549282,161.02461589763124,257.8607310250602
245,n_sr__449,182.80698614532662,142.85474539341058,228.76396178433967
246,n_sr__448,197.40253474409047,154.2604548956503,247.02877535779209
247,n_sr__447,332.47074276218063,259.8096730848795,416.0526131708938
248,n_sr__446,925.6085914951719,723.3179784873145,1158.3030436469521
249,n_sr__445,282.1961397104042,220.52252235746238,353.1391676086085
250,n_sr__444,537.0243604086738,419.65835055807287,672.0302262634833
251,n_sr__443,605.1325537472569,472.88158246920835,757.2605583566002
252,n_sr__442,605.1325537472569,472.88158246920835,757.2605583566002
253,n_sr__441,507.1002335506372,396.27410461888,634.583288609035
254,n_sr__440,546.7693449521878,427.2735807808375,684.225062569844
255,n_sr__439,873.4647291967508,682.5700928099681,1093.0504142280688
256,n_sr__438,873.4647291967508,682.5700928099681,1093.0504142280688
257,n_sr__437,352.1237787152478,275.16756233453344,440.6463470347603
258,n_sr__436,932.9391085465599,729.0464201024811,1167.4764245880392
259,n_sr__435,600.8238959571986,469.5145765108212,751.8687205127056
260,n_sr__434,600.8238959571986,469.5145765108212,751.8687205127056
261,n_sr__433,600.8238959571986,469.5145765108212,751.8687205127056
262,n_sr__432,600.8238959571986,469.5145765108212,751.8687205127056
263,n_sr__431,481.6063474059457,376.3518757638336,602.6803372026696
264,n_sr__430,495.410960222274,387.13950752077005,619.9553767695468
265,n_sr__429,358.98621253163634,280.5302197268499,449.233970409678
266,n_sr__428,294.79015918709536,230.3641344520468,368.89927531032754
267,n_sr__427,355.54308179522224,277.83958095489595,444.9252498032493
268,n_sr__426,260.06294251554357,203.22650803829188,325.44176947293124
269,n_sr__425,260.06294251554357,203.22650803829188,325.44176947293124
270,n_sr__424,198.3462053012323,154.99788741952872,248.20968107601985
271,n_sr__423,345.5337918904215,270.01780898069785,432.399662780826
272,n_sr__422,345.5337918904215,270.01780898069785,432.399662780826
273,n_sr__421,345.5337918904215,270.01780898069785,432.399662780826
274,n_sr__420,261.4249700353245,204.2908661279901,327.146205490692
275,n_sr__419,278.85924157881357,217.9148991859214,348.9633860766786
276,n_sr__418,226.65476593594246,177.1196471355965,283.6349053508748
277,n_sr__417,226.65476593594246,177.1196471355965,283.6349053508748
278,n_sr__416,200.26850543988945,156.5000712401146,250.6152401015824
279,n_sr__415,600.1931252588297,469.0216599685317,751.0793764784373
280,n_sr__414,428.24279032116476,334.65085808733807,535.9013864030838
281,n_sr__413,428.24279032116476,334.65085808733807,535.9013864030838
282,n_sr__412,378.3922128965245,295.69506271062215,473.5185648853561
283,n_sr__411,378.3922128965245,295.69506271062215,473.5185648853561
284,n_sr__410,301.69477539757787,235.75975532839325,377.53968557153433
285,n_sr__409,4.379145382651689,3.4220885747884715,5.4800457470952555
286,n_sr__408,63.75351355028122,49.820262005307406,79.78090249701741
287,n_sr__407,87.1609558325586,68.11203672384802,109.07288605105472
288,n_sr__406,48.249856237480564,37.704909825461606,60.379685159494436
289,n_sr__405,91.08732034644159,71.18029912880105,113.98632355442928
290,n_sr__404,91.08732034644159,71.18029912880105,113.98632355442928
291,n_sr__403,75.7319050012231,59.18079081784729,94.77061564694442
292,n_sr__402,75.7319050012231,59.18079081784729,94.77061564694442
293,n_sr__401,81.11857253878553,63.39020882655343,101.51147075697969
294,n_sr__400,81.11857253878553,63.39020882655343,101.51147075697969
295,n_sr__399,81.11857253878553,63.39020882655343,101.51147075697969
296,n_sr__398,81.11857253878553,63.39020882655343,101.51147075697969
297,n_sr__397,69.02602223075857,53.940470433968684,86.37889965085405
298,n_sr__396,66.91168354337167,52.28821785199143,83.73302432147241
299,n_sr__395,68.58585471742508,53.59650098633653,85.82807571177942
300,n_sr__394,77.40583589267213,60.48888618305403,96.86536634852123
301,n_sr__393,77.40583589267213,60.48888618305403,96.86536634852123
302,n_sr__392,85.65453593370759,66.93484303096119,107.1877579635649
303,n_sr__391,12.077230940291138,9.437767053722727,15.11340050805841
304,n_sr__390,91.03415656179622,71.13875422354438,113.9197945980947
305,n_sr__389,80.49212181512866,62.900668133845,100.72753272250827
306,n_sr__388,82.90624649985716,64.7871888541783,103.74855909991831
307,n_sr__387,69.42567125284468,54.25277665650796,86.87901890528437
308,n_sr__386,69.42567125284468,54.25277665650796,86.87901890528437
309,n_sr__385,82.90624649985716,64.7871888541783,103.74855909991831
310,n_sr__384,82.90624649985716,64.7871888541783,103.74855909991831
311,n_sr__383,63.23082955015198,49.41180994702386,79.12681774264267
312,n_sr__382,49.758828018819536,38.884097690074455,62.26800666294866
313,n_sr__381,49.758828018819536,38.884097690074455,62.26800666294866
314,n_sr__380,57.904314724999324,45.24939834981879,72.46123750635861
315,n_sr__379,62.38709210859099,48.752470279899406,78.07096794222076
316,n_sr__378,79.85384919310191,62.40188920403579,99.92880080972877
317,n_sr__377,101.51012968418341,79.32521637525406,127.02938721026308
318,n_sr__376,117.67541384051745,91.95759767018671,147.25856184384492
319,n_sr__375,100.5203192905332,78.55172781907687,125.79074227747736
320,n_sr__374,100.5203192905332,78.55172781907687,125.79074227747736
321,n_sr__373,82.92423537891807,64.80124628596656,103.77107031422585
322,n_sr__372,129.32247447634074,101.05920760750851,161.8336488816851
323,n_sr__371,165.93521510865975,129.67027905215755,207.6506921765913
324,n_sr__370,149.06891376080915,116.49008700599416,186.54426731646302
325,n_sr__369,100.41935581117541,78.4728297832752,125.6643969663903
326,n_sr__368,149.06891376080915,116.49008700599416,186.54426731646302
327,n_sr__367,114.00931854938776,89.09272297121885,142.67082424824227
328,n_sr__366,114.00931854938776,89.09272297121885,142.67082424824227
329,n_sr__365,165.93521510865975,129.67027905215755,207.6506921765913
330,n_sr__364,162.92034406989785,127.31430435054571,203.87789411433482
331,n_sr__363,110.54608089169979,86.38637162077002,138.3369419175988
332,n_sr__362,101.99046680972323,79.70057641602101,127.63047924808724
333,n_sr__361,177.29570546749662,138.54794829213816,221.86716626820117
334,n_sr__360,95.43851428939784,74.58054501647307,119.4313909770243
335,n_sr__359,127.86279943933624,99.91854274471912,160.00701713514232
336,n_sr__358,127.86279943933624,99.91854274471912,160.00701713514232
337,n_sr__357,98.52150000317098,76.9897480151072,123.28942748251423
338,n_sr__356,98.52150000317098,76.9897480151072,123.28942748251423
339,n_sr__355,172.95467933811798,135.1556480549605,216.4348228085452
340,n_sr__354,121.84975521895257,95.21964190260714,152.48231664505354
341,n_sr__353,55.09896404695228,43.05715359319309,68.95063242043351
342,n_sr__352,67.94088466841461,53.092488343928444,85.02096266454294
343,n_sr__351,70.52502348653931,55.11186681905389,88.25474407684055
344,n_sr__350,86.9120102463075,67.91749788761098,108.76135649859962
345,n_sr__349,70.19512631344233,54.85406826516653,87.84191201888449
346,n_sr__348,73.0785704969671,57.10733928822296,91.45024301824112
347,n_sr__347,73.70158452954917,57.59419437444092,92.22988039067393
348,n_sr__346,119.00306766824474,92.995094395721,148.91998275512017
349,n_sr__345,75.32596398038689,58.863567705103684,94.26262260939473
350,n_sr__344,57.8545693843419,45.210524791843966,72.39898637772801
351,n_sr__343,335.9828847558112,262.5542407891287,420.4476942000911
352,n_sr__342,58.01211722767522,45.333640748849966,72.59614114501278
353,n_sr__341,71.51859013160774,55.888290702547074,89.49808956825376
354,n_sr__340,50.07558410643314,39.13162712645979,62.66439401689908
355,n_sr__339,69.59120883393838,54.38213620396738,87.08617199977871
356,n_sr__338,59.61796823110841,46.588535001375035,74.60569693566889
357,n_sr__337,67.33900507182413,52.62214878885218,84.26777284430409
358,n_sr__336,56.98446313335518,44.530579185984536,71.31013875025933
359,n_sr__335,55.52745392959943,43.391997541884145,69.48684301722625
360,n_sr__334,61.74368294223444,48.2496773911715,77.26580817755469
361,n_sr__333,56.002365126567184,43.76311748405842,70.0811450688323
362,n_sr__332,48.565179301347406,37.95131942366787,60.77427923302079
363,n_sr__331,89.51515933400191,69.95173196140092,112.0189272893726
364,n_sr__330,86.57769361349541,67.65624574146383,108.3429939456953
365,n_sr__329,85.51162300636041,66.82316354715097,107.00891727405123
366,n_sr__328,67.83005567789914,53.00588089223231,84.8822716906065
367,n_sr__327,69.41198429958203,54.24208096995475,86.86189110443199
368,n_sr__326,76.31231538038422,59.63435322641323,95.49693897078116
369,n_sr__325,68.75561865119295,53.72916322231975,86.04051764781109
